Thottle,RPM,Velocity,Gear
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
1,0.022792,0.3256,1
1,0.045584,0.6511999,1
1,0.06837597,0.9767996,1
1,0.09116793,1.302399,1
1,0.1139598,1.627998,1
1,0.1367517,1.953596,1
1,0.1595435,2.279193,1
1,0.1823352,2.604789,1
1,0.2051269,2.930384,1
1,0.2279184,3.255978,1
1,0.2507099,3.58157,1
1,0.2735012,3.907161,1
1,0.2962925,4.232749,1
1,0.3190835,4.558336,1
1,0.3418745,4.883921,1
1,0.3646653,5.209504,1
1,0.3874559,5.535084,1
1,0.4102463,5.860662,1
1,0.4330365,6.186236,1
1,0.4558266,6.511808,1
1,0.4786164,6.837377,1
1,0.501406,7.162943,1
1,0.5241954,7.488505,1
1,0.5469845,7.814064,1
1,0.5697733,8.139619,1
1,0.5925619,8.46517,1
1,0.6153502,8.790717,1
1,0.6381382,9.116261,1
1,0.6609259,9.441799,1
1,0.6837134,9.767334,1
1,0.7065005,10.09286,1
1,0.7298052,10.42579,1
1,0.7525916,10.75131,1
1,0.7753776,11.07682,1
1,0.7981634,11.40233,1
1,0.8209486,11.72784,1
1,0.8437336,12.05334,1
1,0.8665181,12.37883,1
1,0.8893023,12.70432,1
1,0.912086,13.0298,1
1,0.9348693,13.35528,1
1,0.9576522,13.68075,1
1,0.5602483,14.00621,2
1,0.5669305,14.17326,2
1,0.5736126,14.34032,2
1,0.5802946,14.50737,2
1,0.5869764,14.67441,2
1,0.5936581,14.84145,2
1,0.6003397,15.00849,2
1,0.6070211,15.17553,2
1,0.6137023,15.34256,2
1,0.6203834,15.50959,2
1,0.6270643,15.67661,2
1,0.6337451,15.84363,2
1,0.6404258,16.01064,2
1,0.6471062,16.17766,2
1,0.6537865,16.34466,2
1,0.6604667,16.51167,2
1,0.6671467,16.67867,2
1,0.6738265,16.84566,2
1,0.6805062,17.01266,2
1,0.6871858,17.17964,2
1,0.6938651,17.34663,2
1,0.7005442,17.51361,2
1,0.7072232,17.68058,2
1,0.7139021,17.84755,2
1,0.7205807,18.01452,2
1,0.7272592,18.18148,2
1,0.7339374,18.34844,2
1,0.7406156,18.51539,2
1,0.7472935,18.68234,2
1,0.7539713,18.84928,2
1,0.7606489,19.01622,2
1,0.7673263,19.18316,2
1,0.7740034,19.35009,2
1,0.7806805,19.51701,2
1,0.7873573,19.68393,2
1,0.7940339,19.85085,2
1,0.8007104,20.01776,2
1,0.8073866,20.18467,2
1,0.8140627,20.35157,2
1,0.8207386,20.51846,2
1,0.8274142,20.68535,2
1,0.8340896,20.85224,2
1,0.8407648,21.01912,2
1,0.8474399,21.186,2
1,0.8541147,21.35287,2
1,0.8607894,21.51973,2
1,0.8674638,21.68659,2
1,0.8741379,21.85345,2
1,0.8808119,22.0203,2
1,0.8874857,22.18714,2
1,0.8941593,22.35398,2
1,0.9008327,22.52082,2
1,0.9075058,22.68764,2
1,0.9141787,22.85447,2
1,0.9208513,23.02128,2
1,0.9275238,23.1881,2
1,0.934196,23.3549,2
1,0.940868,23.5217,2
1,0.9475397,23.68849,2
1,0.9542113,23.85528,2
1,0.9608825,24.02206,2
1,0.9675536,24.18884,2
1,0.6819571,24.35561,3
1,0.6848525,24.45902,3
1,0.6878135,24.56477,3
1,0.6907086,24.66817,3
1,0.6936036,24.77156,3
1,0.6964986,24.87495,3
1,0.6993933,24.97833,3
1,0.702288,25.08172,3
1,0.7051827,25.18509,3
1,0.7080771,25.28847,3
1,0.7109715,25.39184,3
1,0.7138658,25.49521,3
1,0.7167599,25.59857,3
1,0.719654,25.70193,3
1,0.7225479,25.80528,3
1,0.7254418,25.90864,3
1,0.7283356,26.01198,3
1,0.7312292,26.11533,3
1,0.7341227,26.21867,3
1,0.7370161,26.322,3
1,0.7399094,26.42534,3
1,0.7428026,26.52867,3
1,0.7456957,26.63199,3
1,0.7485886,26.73531,3
1,0.7514814,26.83862,3
1,0.7543741,26.94193,3
1,0.7572668,27.04524,3
1,0.7601593,27.14855,3
1,0.7630517,27.25185,3
1,0.765944,27.35514,3
1,0.7688361,27.45843,3
1,0.7717282,27.56172,3
1,0.7746858,27.66735,3
1,0.7775776,27.77063,3
1,0.7804694,27.87391,3
1,0.7833609,27.97717,3
1,0.7862523,28.08044,3
1,0.7891437,28.1837,3
1,0.7920349,28.28696,3
1,0.7949259,28.39021,3
1,0.7978169,28.49346,3
1,0.8007078,28.59671,3
1,0.8035985,28.69995,3
1,0.8064891,28.80318,3
1,0.8093796,28.90641,3
1,0.8122699,29.00964,3
1,0.8151602,29.11287,3
1,0.8180503,29.21608,3
1,0.8209403,29.3193,3
1,0.8238302,29.42251,3
1,0.8267199,29.52571,3
1,0.8296096,29.62891,3
1,0.8324991,29.73211,3
1,0.82464,29.45143,3
1,0.8275297,29.55463,3
1,0.8304192,29.65783,3
1,0.8333087,29.76103,3
1,0.8361981,29.86422,3
1,0.8390873,29.9674,3
1,0.8419763,30.07059,3
1,0.8448653,30.17376,3
1,0.8477541,30.27693,3
1,0.8506429,30.3801,3
1,0.8535314,30.48326,3
1,0.8564199,30.58642,3
1,0.8593081,30.68958,3
1,0.8621963,30.79273,3
1,0.8650844,30.89587,3
1,0.8679723,30.99901,3
1,0.8708602,31.10215,3
1,0.8737478,31.20528,3
1,0.8766353,31.3084,3
1,0.8795227,31.41153,3
1,0.88241,31.51464,3
1,0.8852971,31.61775,3
1,0.8881841,31.72086,3
1,0.891071,31.82396,3
1,0.8939577,31.92706,3
1,0.8968443,32.03016,3
1,0.8997308,32.13324,3
1,0.9026172,32.23633,3
1,0.9055033,32.33941,3
1,0.9083894,32.44248,3
1,0.9112753,32.54555,3
1,0.914161,32.64861,3
1,0.9170467,32.75167,3
1,0.9199322,32.85472,3
1,0.9228176,32.95777,3
1,0.9257028,33.06081,3
1,0.9286534,33.16619,3
1,0.9315384,33.26923,3
1,0.9344232,33.37226,3
1,0.9373078,33.47528,3
1,0.9401924,33.5783,3
1,0.9431423,33.68365,3
0.75,0.95,30,3
0.5,0.9,26.31635,3
0.25,0.85,22.6327,3
0,0.8,18.94905,3
0,0.75,15.2654,3
0,0.7,11.58175,3
0,0.65,7.8981,3
0,0.6,4.21445,3
0,0.55,0.5308,3
0,0.5,0,3
0,0.45,0,3
0,0.4,0,3
0,0.35,0,3
0,0.3,0,3
0,0.25,0,3
0,0.2,0,3
0,0.15,0,3
0,0.1,0,3
0,0.05,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
1,0.022792,0.3256,1
1,0.045584,0.6511999,1
1,0.06837597,0.9767996,1
1,0.09116793,1.302399,1
1,0.1139598,1.627998,1
1,0.1367517,1.953596,1
1,0.1595435,2.279193,1
1,0.1823352,2.604789,1
1,0.2051269,2.930384,1
1,0.2279184,3.255978,1
1,0.2507099,3.58157,1
1,0.2735012,3.907161,1
1,0.2962925,4.232749,1
1,0.3190835,4.558336,1
1,0.3418745,4.883921,1
1,0.3646653,5.209504,1
1,0.3874559,5.535084,1
1,0.4102463,5.860662,1
1,0.4330365,6.186236,1
1,0.4558266,6.511808,1
1,0.4786164,6.837377,1
1,0.501406,7.162943,1
1,0.5241954,7.488505,1
1,0.5469845,7.814064,1
1,0.5697733,8.139619,1
1,0.5925619,8.46517,1
1,0.6153502,8.790717,1
1,0.6381382,9.116261,1
1,0.6609259,9.441799,1
1,0.6837134,9.767334,1
1,0.7065005,10.09286,1
1,0.7298052,10.42579,1
1,0.7525916,10.75131,1
1,0.7753776,11.07682,1
1,0.7981634,11.40233,1
1,0.8209486,11.72784,1
1,0.8437336,12.05334,1
1,0.8665181,12.37883,1
1,0.8893023,12.70432,1
1,0.912086,13.0298,1
1,0.9348693,13.35528,1
1,0.9576522,13.68075,1
1,0.5602483,14.00621,2
1,0.5669305,14.17326,2
1,0.5736126,14.34032,2
1,0.5802946,14.50737,2
1,0.5869764,14.67441,2
1,0.5936581,14.84145,2
1,0.6003397,15.00849,2
1,0.6070211,15.17553,2
1,0.6137023,15.34256,2
1,0.6203834,15.50959,2
1,0.6270643,15.67661,2
1,0.6337451,15.84363,2
